Category,Keyword,Search Intent,Competition,Target URL,Optimization Status,Content Type,Priority,Search Volume,Current Position,Clicks,CTR,Last Updated
Global Keywords,cci tunisie,Navigational,High,/,Well Optimized,Homepage,High,1366,0,9,0.30,2025-10-15
Global Keywords,cci tunis,Navigational,High,/,Well Optimized,Homepage,High,1225,0,138,0.30,2025-10-15
Global Keywords,nettoyage professionnel tunisie,Commercial,Medium,/services,Well Optimized,Service Page,High,411,0,0,0.30,2025-10-15
Global Keywords,nettoyage moquette tunis,Transactional,Medium,/tapis,Needs Optimization,Service Page,High,411,5,176,15.00,2025-10-15
Global Keywords,nettoyage salon tunisie,Transactional,Medium,/salon,Well Optimized,Service Page,High,427,0,68,0.30,2025-10-15
Marbre & Pierre,restauration marbre tunis,Commercial,High,/marbre,Needs Optimization,Service Page,High,465,4,75,4.74,2025-10-15
Global Keywords,services tapisserie tunisie,Commercial,Low,/tapisserie,Needs Optimization,Service Page,High,185,9,36,0.30,2025-10-15
Global Keywords,nettoyage post-chantier,Commercial,Low,/tfc,Well Optimized,Service Page,High,150,0,33,0.30,2025-10-15
Global Keywords,CCI services,Navigational,High,/,Optimized,Homepage,High,660,1,99,35.00,2025-10-15
Company Brand,CCI Tunisie,Navigational,High,/,Well Optimized,Homepage,High,1324,0,135,0.30,2025-10-15
Company Brand,CCI Tunis,Navigational,High,/,Well Optimized,Homepage,High,1210,0,72,0.30,2025-10-15
Company Brand,CCI Services,Navigational,Medium,/,Optimized,Homepage,High,497,1,60,35.00,2025-10-15
Company Brand,Chaabane's Cleaning Intelligence,Navigational,Low,/about,Optimized,About Page,High,82,1,73,35.00,2025-10-15
Tapis & Moquette,nettoyage tapis tunis,Transactional,High,/tapis,Well Optimized,Service Page,High,712,0,93,0.30,2025-10-15
Tapis & Moquette,nettoyage moquettes tunisie,Transactional,High,/tapis,Needs Optimization,Service Page,High,661,4,136,15.00,2025-10-15
Tapis & Moquette,injection extraction,Informational,Medium,/blog/injection-extraction-guide,Well Optimized,Blog Post,High,210,0,147,26.92,2025-10-15
Technical Methods,lavage vapeur,Informational,Medium,/blog/lavage-vapeur-technique,Well Optimized,Blog Post,Medium,132,0,18,6.02,2025-10-15
Technical Methods,nettoyage à sec,Informational,Medium,/blog/nettoyage-sec-technique,Well Optimized,Blog Post,High,289,0,34,12.98,2025-10-15
Tapis & Moquette,shampouinage moquette Tunis,Commercial,Medium,/tapis,Well Optimized,Service Page,High,330,2,58,4.48,2025-10-15
Tapis & Moquette,détachage moquette Tunis,Commercial,Low,/blog/detachage-moquette,Well Optimized,Blog Post,High,151,2,114,14.09,2025-10-15
Tapis & Moquette,entreprise nettoyage moquette Tunis,Commercial,High,/tapis,Needs Optimization,Service Page,High,664,6,81,28.52,2025-10-15
Tapis & Moquette,devis nettoyage moquette Tunis,Transactional,Medium,/devis,Well Optimized,Landing Page,High,372,3,18,3.45,2025-10-15
Tapis & Moquette,tarif nettoyage tapis Tunis,Commercial,Medium,/blog/prix-nettoyage-tapis,Needs Optimization,Blog Post,High,567,7,87,19.59,2025-10-15
Salon & Canapé,nettoyage salon tunis,Commercial,Medium,/salon,Needs Optimization,Service Page,High,445,9,96,9.38,2025-10-15
Salon & Canapé,nettoyage canapé,Informational,Medium,/blog/guide-nettoyage-canape,Well Optimized,Blog Post,High,326,0,111,13.31,2025-10-15
Salon & Canapé,nettoyage voiture intérieur,Commercial,Low,/blog/nettoyage-voiture-interieur,Well Optimized,Blog Post,High,186,0,123,10.88,2025-10-15
Salon & Canapé,nettoyage salon domicile tunis,Transactional,Medium,/salon,Well Optimized,Service Page,High,338,0,3,0.26,2025-10-15
Salon & Canapé,détachage salon,Informational,Low,/blog/detachage-salon-guide,Well Optimized,Blog Post,High,170,0,0,0.00,2025-10-15
Salon & Canapé,shampooing canapé,Informational,Low,/blog/shampooing-canape,Well Optimized,Blog Post,High,135,0,21,1.54,2025-10-15
Salon & Canapé,désinfection salon,Informational,Medium,/blog/desinfection-salon,Well Optimized,Blog Post,High,253,0,45,8.02,2025-10-15
Marbre & Pierre,traitement marbre tunisie,Commercial,High,/marbre,Well Optimized,Service Page,High,490,0,138,42.72,2025-10-15
Marbre & Pierre,ponçage marbre,Informational,Medium,/blog/poncage-marbre-guide,Well Optimized,Blog Post,High,211,0,70,5.05,2025-10-15
Marbre & Pierre,polissage marbre,Informational,Medium,/blog/polissage-marbre-technique,Well Optimized,Blog Post,Medium,286,0,2,1.33,2025-10-15
Marbre & Pierre,cristallisation marbre,Informational,High,/blog/cristallisation-marbre,Well Optimized,Blog Post,High,270,0,69,9.14,2025-10-15
Marbre & Pierre,restauration marbre tunis,Commercial,High,/marbre,Optimized,Service Page,High,465,1,75,4.74,2025-10-15
Marbre & Pierre,entretien marbre,Informational,Medium,/blog/entretien-marbre-conseils,Well Optimized,Blog Post,High,202,0,28,3.41,2025-10-15
Marbre & Pierre,marbre blanc,Informational,Low,/blog/entretien-marbre-blanc,Well Optimized,Blog Post,High,267,0,9,2.49,2025-10-15
Marbre & Pierre,protection marbre,Informational,Medium,/blog/protection-marbre-guide,Well Optimized,Blog Post,High,137,0,21,1.65,2025-10-15
Marbre & Pierre,polissage marbre tunisie,Commercial,High,/marbre,Well Optimized,Service Page,High,350,0,0,0.00,2025-10-15
Marbre & Pierre,polissage marbre tunisie,Commercial,High,/marbre,Needs Optimization,Service Page,High,350,0,0,0.00,2025-10-15
Marbre & Pierre,ponçage marbre tunisie,Commercial,High,/marbre,Well Optimized,Service Page,High,320,0,0,0.00,2025-10-15
Marbre & Pierre,ponçage marbre tunisie,Commercial,High,/marbre,Needs Optimization,Service Page,High,320,0,0,0.00,2025-10-15
Marbre & Pierre,lustrage marbre tunisie,Commercial,Medium,/marbre,Requires Work,Service Page,High,280,27,0,0.00,2025-10-15
Marbre & Pierre,lustrage marbre tunisie,Commercial,Medium,/marbre,Needs Optimization,Service Page,High,280,0,0,0.00,2025-10-15
Marbre & Pierre,protection marbre tunisie,Commercial,Medium,/marbre,Well Optimized,Service Page,High,240,0,0,0.00,2025-10-15
Marbre & Pierre,protection marbre tunisie,Commercial,Medium,/marbre,Needs Optimization,Service Page,High,240,0,0,0.00,2025-10-15
Marbre & Pierre,cristallisation marbre tunisie,Commercial,High,/marbre,Well Optimized,Service Page,High,380,0,0,0.00,2025-10-15
Marbre & Pierre,cristallisation marbre tunisie,Commercial,High,/marbre,Needs Optimization,Service Page,High,380,0,0,0.00,2025-10-15
Post-Chantier TFC,nettoyage post-chantier tunisie,Commercial,Medium,/tfc,Well Optimized,Service Page,High,492,0,54,14.67,2025-10-15
Post-Chantier TFC,fin de travaux,Commercial,Medium,/tfc,Well Optimized,Service Page,High,273,0,42,10.82,2025-10-15
Post-Chantier TFC,dépoussiérage professionnel,Informational,Low,/blog/depoussierage-professionnel,Well Optimized,Blog Post,High,126,0,24,3.17,2025-10-15
Post-Chantier TFC,décapage sols,Informational,Low,/blog/decapage-sols-guide,Well Optimized,Blog Post,High,262,0,30,3.33,2025-10-15
Post-Chantier TFC,nettoyage vitres chantier,Commercial,Low,/blog/nettoyage-vitres-chantier,Well Optimized,Blog Post,High,184,0,3,1.11,2025-10-15
Post-Chantier TFC,nettoyage après travaux,Commercial,Medium,/tfc,Well Optimized,Service Page,High,184,0,13,2.85,2025-10-15
Tapisserie,tapisserie sur mesure tunis,Commercial,Medium,/tapisserie,Well Optimized,Service Page,High,206,0,87,6.38,2025-10-15
Tapisserie,rembourrage canapés,Informational,Low,/blog/rembourrage-canapes,Well Optimized,Blog Post,Medium,110,0,9,5.88,2025-10-15
Tapisserie,tissus ignifuges,Informational,Low,/blog/tissus-ignifuges-guide,Well Optimized,Blog Post,High,137,0,19,8.26,2025-10-15
Tapisserie,remplacement mousse,Informational,Low,/blog/remplacement-mousse-canape,Well Optimized,Blog Post,Medium,225,0,49,9.70,2025-10-15
Tapisserie,tapisserie nautique,Commercial,Low,/tapisserie,Well Optimized,Service Page,High,90,0,45,5.42,2025-10-15
Tapisserie,confection sur mesure,Commercial,Low,/tapisserie,Well Optimized,Service Page,High,76,0,39,4.60,2025-10-15
Tapisserie,rénovation fauteuil,Informational,Medium,/blog/renovation-fauteuil-guide,Well Optimized,Blog Post,Medium,278,0,22,19.82,2025-10-15
Pricing & Services,prix nettoyage tapis tunis,Commercial,Medium,/blog/prix-nettoyage-tapis,Well Optimized,Blog Post,High,416,0,22,2.69,2025-10-15
Pricing & Services,tarif nettoyage tapis,Commercial,Medium,/blog/tarifs-nettoyage-tapis,Well Optimized,Blog Post,High,290,0,24,2.61,2025-10-15
Pricing & Services,devis nettoyage tapis,Transactional,High,/devis,Well Optimized,Landing Page,High,433,0,122,6.06,2025-10-15
Pricing & Services,cout nettoyage tapis tunisie,Commercial,Medium,/blog/cout-nettoyage-tapis,Well Optimized,Blog Post,High,404,0,34,7.07,2025-10-15
Pricing & Services,prix injection extraction,Commercial,Low,/blog/prix-injection-extraction,Well Optimized,Blog Post,High,283,0,28,11.48,2025-10-15
Pricing & Services,devis gratuit,Transactional,High,/devis,Well Optimized,Landing Page,High,334,0,104,10.48,2025-10-15
Pricing & Services,simulateur devis nettoyage tunisie,Transactional,Low,/devis,Optimized,Landing Page,High,325,1,50,4.26,2025-10-15
Pricing & Services,prix transparent,Commercial,Low,/blog/prix-transparent-nettoyage,Well Optimized,Blog Post,High,92,0,6,0.64,2025-10-15
Pricing & Services,devis en ligne,Transactional,Medium,/devis,Well Optimized,Landing Page,High,192,0,50,2.54,2025-10-15
Pricing & Services,tarif nettoyage salon tunisie,Commercial,Medium,/blog/tarif-nettoyage-salon,Well Optimized,Blog Post,High,457,0,9,1.82,2025-10-15
Specialized Services,comment nettoyer canapé cuir,Informational,Medium,/blog/nettoyer-canape-cuir,Well Optimized,Blog Post,High,185,0,13,1.10,2025-10-15
Specialized Services,entretien canapé cuir tunis,Commercial,Low,/blog/entretien-canape-cuir,Well Optimized,Blog Post,High,153,0,64,23.79,2025-10-15
Specialized Services,nettoyage cuir professionnel,Commercial,Low,/blog/nettoyage-cuir-professionnel,Well Optimized,Blog Post,High,231,0,34,9.21,2025-10-15
Specialized Services,produits nettoyage cuir,Informational,Low,/blog/produits-nettoyage-cuir,Well Optimized,Blog Post,High,209,0,7,0.99,2025-10-15
Specialized Services,détartrage marbre cuisine,Informational,Medium,/blog/detartrage-marbre-cuisine,Well Optimized,Blog Post,High,124,0,10,4.12,2025-10-15
Specialized Services,entretien marbre cuisine tunis,Commercial,Low,/blog/entretien-marbre-cuisine,Well Optimized,Blog Post,High,266,0,72,15.03,2025-10-15
Specialized Services,nettoyer plan travail marbre,Informational,Medium,/blog/nettoyer-plan-travail-marbre,Well Optimized,Blog Post,Low,141,0,24,18.60,2025-10-15
Specialized Services,marbre cuisine calcaire,Informational,Low,/blog/marbre-cuisine-calcaire,Well Optimized,Blog Post,High,237,0,21,12.00,2025-10-15
Geographic Areas,nettoyage ariana,Commercial,Medium,/services,Well Optimized,Service Page,High,225,0,52,7.73,2025-10-15
Geographic Areas,services nettoyage ariana,Commercial,Medium,/services,Well Optimized,Service Page,High,322,0,48,5.01,2025-10-15
Geographic Areas,nettoyage tapis ariana,Commercial,Medium,/tapis,Well Optimized,Service Page,High,308,0,33,3.38,2025-10-15
Geographic Areas,marbre ariana,Commercial,Low,/marbre,Well Optimized,Service Page,High,71,0,69,8.22,2025-10-15
Geographic Areas,CCI services ariana,Commercial,Low,/services,Well Optimized,Service Page,High,259,3,31,3.44,2025-10-15
Geographic Areas,nettoyage la marsa,Commercial,Medium,/services,Well Optimized,Service Page,High,184,0,28,4.27,2025-10-15
Geographic Areas,services carthage,Commercial,Low,/services,Well Optimized,Service Page,High,168,0,48,11.24,2025-10-15
Geographic Areas,nettoyage prestige tunis,Commercial,Medium,/services,Well Optimized,Service Page,High,335,0,6,0.48,2025-10-15
Geographic Areas,marbre la marsa,Commercial,Low,/marbre,Well Optimized,Service Page,High,266,0,13,0.99,2025-10-15
Geographic Areas,CCI services premium,Commercial,Low,/services,Optimized,Service Page,High,304,1,63,10.54,2025-10-15
Technical Methods,injection-extraction,Informational,Medium,/blog/injection-extraction-guide,Well Optimized,Blog Post,High,237,0,87,9.74,2025-10-15
Technical Methods,lavage vapeur,Informational,Medium,/blog/lavage-vapeur-technique,Not Optimized,Blog Post,Medium,132,8,18,6.02,2025-10-15
Technical Methods,nettoyage à sec,Informational,Medium,/blog/nettoyage-sec-technique,Not Optimized,Blog Post,High,289,38,34,12.98,2025-10-15
Technical Methods,séchage rapide,Informational,Low,/blog/sechage-rapide-technique,Well Optimized,Blog Post,High,122,0,9,0.81,2025-10-15
Materials & Surfaces,tissus d'ameublement,Informational,Low,/blog/nettoyage-tissus-ameublement,Well Optimized,Blog Post,High,170,0,73,25.70,2025-10-15
Professional Services Inquiries,services nettoyage professionnel près de moi,Local Commercial,High,/services,Well Optimized,Service Page,High,357,0,30,6.00,2025-10-15
Professional Services Inquiries,entreprise nettoyage industriel fiable Tunisie,Commercial,High,/services,Well Optimized,Service Page,High,686,0,37,4.95,2025-10-15
Professional Services Inquiries,nettoyage professionnel bureaux options,Commercial,High,/services,Well Optimized,Service Page,High,355,0,16,4.09,2025-10-15
Professional Services Inquiries,tarifs moyens nettoyage après travaux,Commercial,High,/blog/tarifs-nettoyage-apres-travaux,Well Optimized,Blog Post,High,489,0,16,1.65,2025-10-15
Professional Services Inquiries,entreprise nettoyage écologique commerces,Commercial,High,/services,Well Optimized,Service Page,High,483,0,4,0.87,2025-10-15
Professional Services Inquiries,réserver service nettoyage événement professionnel,Transactional,High,/contact,Well Optimized,Service Page,High,401,0,7,4.07,2025-10-15
Professional Services Inquiries,contrats nettoyage réguliers immeubles,Commercial,High,/services,Well Optimized,Service Page,High,307,0,48,3.61,2025-10-15
Professional Services Inquiries,services nettoyage vitres en hauteur,Commercial,Medium,/services,Well Optimized,Service Page,High,231,0,19,9.31,2025-10-15
Professional Services Inquiries,service désinfection professionnelle locaux commerciaux,Commercial,High,/services,Well Optimized,Service Page,High,368,0,73,7.90,2025-10-15
Professional Services Inquiries,nettoyage spécialisé cuisines industrielles,Commercial,High,/services,Well Optimized,Service Page,High,368,0,12,4.67,2025-10-15
Marbre,nettoyage marbre tunis,Commercial,Medium,/marbre,Well Optimized,Article,High,338,0,30,3.46,2025-10-15
Marbre,détachage marbre tunis,Commercial,Medium,/marbre,Well Optimized,Article,High,339,0,70,15.09,2025-10-15
Marbre,lavage marbre tunis,Commercial,Medium,/marbre,Well Optimized,Article,High,378,0,60,5.10,2025-10-15
Marbre,entretien marbre tunis,Commercial,Medium,/marbre,Well Optimized,Article,High,300,0,70,7.64,2025-10-15
Tapis,nettoyage tapisserie tunis,Commercial,Medium,/tapis,Optimized,Article,High,370,1,28,2.70,2025-10-15
Tapis,détachage tapisserie tunis,Commercial,Medium,/tapis,Well Optimized,Article,High,240,3,34,5.59,2025-10-15
Tapis,lavage tapisserie tunis,Commercial,Medium,/tapis,Well Optimized,Article,High,213,0,0,0.00,2025-10-15
Tapis,entretien tapisserie tunis,Commercial,Medium,/tapis,Optimized,Article,High,202,1,15,3.36,2025-10-15
Tapis,détachage tapis tunis,Commercial,Medium,/tapis,Well Optimized,Article,High,372,3,18,4.71,2025-10-15
Tapis,lavage tapis tunis,Commercial,Medium,/tapis,Well Optimized,Article,High,213,0,42,7.47,2025-10-15
Tapis,entretien tapis tunis,Commercial,Medium,/tapis,Needs Optimization,Article,High,364,4,58,6.81,2025-10-15
Salon,détachage salon tunis,Commercial,Medium,/salon,Well Optimized,Article,High,288,2,0,0.00,2025-10-15
Salon,lavage salon tunis,Commercial,Medium,/salon,Not Optimized,Article,High,385,57,16,3.00,2025-10-15
Salon,entretien salon tunis,Commercial,Medium,/salon,Well Optimized,Article,High,268,0,21,3.22,2025-10-15
Nettoyage,nettoyage rideaux tunis,Commercial,Medium,/services,Well Optimized,Article,High,315,0,30,11.28,2025-10-15
Nettoyage,détachage rideaux tunis,Commercial,Medium,/services,Well Optimized,Article,High,316,0,63,5.87,2025-10-15
Nettoyage,lavage rideaux tunis,Commercial,Medium,/services,Well Optimized,Article,High,353,0,42,2.94,2025-10-15
Nettoyage,entretien rideaux tunis,Commercial,Medium,/services,Well Optimized,Article,High,384,0,51,10.49,2025-10-15
Nettoyage,nettoyage matelas tunis,Commercial,Medium,/services,Well Optimized,Article,High,384,0,43,7.57,2025-10-15
Nettoyage,détachage matelas tunis,Commercial,Medium,/services,Well Optimized,Article,High,278,0,49,3.49,2025-10-15
