Opportunity Score,Priority Flag,Keyword,Current Position,Search Volume,CTR,Clicks,Impressions,Trend,Optimization Status,Target URL,Category,Low Hanging Fruit,High CTR Opportunity,Not Ranking But Has Volume
152229,ğŸš€ URGENT,CCI services,1,660,35.00,99,1318,Stable,Optimized,/,Global Keywords,false,false,false
23935,ğŸš€ URGENT,nettoyage moquettes tunisie,4,661,15.00,136,1207,Declining,Needs Optimization,/tapis,Tapis & Moquette,false,false,false
19482,ğŸš€ URGENT,CCI Services,1,497,35.00,60,224,Stable,Optimized,/,Company Brand,false,false,false
17423,ğŸš€ URGENT,restauration marbre tunis,1,465,4.74,75,1581,Improving,Optimized,/marbre,Marbre & Pierre,false,false,false
10655,ğŸš€ URGENT,nettoyage moquette tunis,5,411,15.00,176,1037,Declining,Needs Optimization,/tapis,Global Keywords,true,false,false
9580,âœ… MOMENTUM,CCI services premium,1,304,10.54,63,598,Improving,Optimized,/services,Geographic Areas,false,false,false
8134,ğŸ“‹ MONITOR,simulateur devis nettoyage tunisie,1,325,4.26,50,1175,Stable,Optimized,/devis,Pricing & Services,false,false,false
7683,ğŸ¯ LOW-HANGING,entreprise nettoyage moquette Tunis,6,664,28.52,81,284,Improving,Needs Optimization,/tapis,Tapis & Moquette,true,false,false
6969,ğŸ”§ NEEDS-WORK,restauration marbre tunis,4,465,4.74,75,1581,Declining,Needs Optimization,/marbre,Marbre & Pierre,false,false,false
6387,âš ï¸ DECLINING,shampouinage moquette Tunis,2,330,4.48,58,1296,Declining,Well Optimized,/tapis,Tapis & Moquette,false,false,false
6165,ğŸ¯ LOW-HANGING,tarif nettoyage tapis Tunis,7,567,19.59,87,444,Declining,Needs Optimization,/blog/prix-nettoyage-tapis,Tapis & Moquette,true,false,false
5737,âš ï¸ DECLINING,dÃ©tachage moquette Tunis,2,151,14.09,114,809,Declining,Well Optimized,/blog/detachage-moquette,Tapis & Moquette,false,false,false
5185,âœ… MOMENTUM,nettoyage tapisserie tunis,1,370,2.70,28,1038,Improving,Optimized,/tapis,Tapis,false,false,false
4362,ğŸ“‹ MONITOR,Chaabane's Cleaning Intelligence,1,82,35.00,73,304,Stable,Optimized,/about,Company Brand,false,false,false
4270,ğŸ¯ LOW-HANGING,nettoyage salon tunis,9,445,9.38,96,1023,Declining,Needs Optimization,/salon,Salon & CanapÃ©,true,false,false
4224,ğŸ”§ NEEDS-WORK,entretien tapis tunis,4,364,6.81,58,852,Declining,Needs Optimization,/tapis,Tapis,false,false,false
2039,âš ï¸ DECLINING,dÃ©tachage tapisserie tunis,3,240,5.59,34,608,Declining,Well Optimized,/tapis,Tapis,false,false,false
2005,âœ… MOMENTUM,CCI services ariana,3,259,3.44,31,900,Improving,Well Optimized,/services,Geographic Areas,false,false,false
1675,âœ… MOMENTUM,devis nettoyage moquette Tunis,3,372,3.45,18,522,Improving,Well Optimized,/devis,Tapis & Moquette,false,false,false
1673,âœ… MOMENTUM,dÃ©tachage tapis tunis,3,372,4.71,18,382,Improving,Well Optimized,/tapis,Tapis,false,false,false
1517,âœ… MOMENTUM,entretien tapisserie tunis,1,202,3.36,15,447,Improving,Optimized,/tapis,Tapis,false,false,false
264,ğŸ“‹ MONITOR,lavage vapeur,8,132,6.02,18,299,Stable,Not Optimized,/blog/lavage-vapeur-technique,Technical Methods,true,false,false
252,ğŸ“ˆ HIGH-CTR,nettoyage Ã  sec,38,289,12.98,34,262,Declining,Not Optimized,/blog/nettoyage-sec-technique,Technical Methods,false,true,false
106,âš ï¸ DECLINING,lavage salon tunis,57,385,3.00,16,533,Declining,Not Optimized,/salon,Salon,false,false,false
71,ğŸ”§ NEEDS-WORK,services tapisserie tunisie,9,185,0.30,36,1277,Improving,Needs Optimization,/tapisserie,Global Keywords,true,false,false
68,ğŸ“ˆ HIGH-CTR,traitement marbre tunisie,0,490,42.72,138,323,Not Ranking,Well Optimized,/marbre,Marbre & Pierre,false,true,false
53,ğŸ“‹ MONITOR,devis nettoyage tapis,0,433,6.06,122,2012,Not Ranking,Well Optimized,/devis,Pricing & Services,false,true,false
36,ğŸ“ˆ HIGH-CTR,nettoyage canapÃ©,0,326,13.31,111,834,Not Ranking,Well Optimized,/blog/guide-nettoyage-canape,Salon & CanapÃ©,false,true,false
35,ğŸ“ˆ HIGH-CTR,devis gratuit,0,334,10.48,104,992,Not Ranking,Well Optimized,/devis,Pricing & Services,false,true,false
31,ğŸ“ˆ HIGH-CTR,injection extraction,0,210,26.92,147,546,Not Ranking,Well Optimized,/blog/injection-extraction-guide,Tapis & Moquette,false,true,false
27,ğŸ“ˆ HIGH-CTR,nettoyage post-chantier tunisie,0,492,14.67,54,368,Not Ranking,Well Optimized,/tfc,Post-Chantier TFC,false,true,false
27,ğŸ“‹ MONITOR,service dÃ©sinfection professionnelle locaux commerciaux,0,368,7.90,73,924,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,true,false
25,ğŸ“‹ MONITOR,entreprise nettoyage industriel fiable Tunisie,0,686,4.95,37,748,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,false,false
24,ğŸ“ˆ HIGH-CTR,dÃ©tachage marbre tunis,0,339,15.09,70,464,Not Ranking,Well Optimized,/marbre,Marbre,false,true,false
23,ğŸ“ˆ HIGH-CTR,nettoyage voiture intÃ©rieur,0,186,10.88,123,1131,Not Ranking,Well Optimized,/blog/nettoyage-voiture-interieur,Salon & CanapÃ©,false,true,false
23,ğŸ“‹ MONITOR,lavage marbre tunis,0,378,5.10,60,1176,Not Ranking,Well Optimized,/marbre,Marbre,false,true,false
21,ğŸ“‹ MONITOR,injection-extraction,0,237,9.74,87,893,Not Ranking,Well Optimized,/blog/injection-extraction-guide,Technical Methods,false,true,false
21,ğŸ“‹ MONITOR,entretien marbre tunis,0,300,7.64,70,916,Not Ranking,Well Optimized,/marbre,Marbre,false,true,false
20,ğŸ“‹ MONITOR,dÃ©tachage rideaux tunis,0,316,5.87,63,1073,Not Ranking,Well Optimized,/services,Nettoyage,false,true,false
20,ğŸ“ˆ HIGH-CTR,entretien rideaux tunis,0,384,10.49,51,486,Not Ranking,Well Optimized,/services,Nettoyage,false,true,false
19,ğŸ“‹ MONITOR,cristallisation marbre,0,270,9.14,69,755,Not Ranking,Well Optimized,/blog/cristallisation-marbre,Marbre & Pierre,false,true,false
19,ğŸ“ˆ HIGH-CTR,entretien marbre cuisine tunis,0,266,15.03,72,479,Not Ranking,Well Optimized,/blog/entretien-marbre-cuisine,Specialized Services,false,true,false
18,ğŸ“‹ MONITOR,tapisserie sur mesure tunis,0,206,6.38,87,1363,Not Ranking,Well Optimized,/tapisserie,Tapisserie,false,true,false
17,ğŸ“‹ MONITOR,nettoyage matelas tunis,0,384,7.57,43,568,Not Ranking,Well Optimized,/services,Nettoyage,false,true,false
15,ğŸ“‹ MONITOR,ponÃ§age marbre,0,211,5.05,70,1387,Not Ranking,Well Optimized,/blog/poncage-marbre-guide,Marbre & Pierre,false,true,false
15,ğŸ“‹ MONITOR,services nettoyage ariana,0,322,5.01,48,958,Not Ranking,Well Optimized,/services,Geographic Areas,false,true,false
15,ğŸ“‹ MONITOR,contrats nettoyage rÃ©guliers immeubles,0,307,3.61,48,1329,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,false,false
15,ğŸ“‹ MONITOR,lavage rideaux tunis,0,353,2.94,42,1428,Not Ranking,Well Optimized,/services,Nettoyage,false,false,false
14,ğŸ“‹ MONITOR,cout nettoyage tapis tunisie,0,404,7.07,34,481,Not Ranking,Well Optimized,/blog/cout-nettoyage-tapis,Pricing & Services,false,true,false
14,ğŸ“‹ MONITOR,dÃ©tachage matelas tunis,0,278,3.49,49,1404,Not Ranking,Well Optimized,/services,Nettoyage,false,false,false
12,ğŸ“‹ MONITOR,nettoyage ariana,0,225,7.73,52,673,Not Ranking,Well Optimized,/services,Geographic Areas,false,true,false
12,ğŸ“ˆ HIGH-CTR,tissus d'ameublement,0,170,25.70,73,284,Not Ranking,Well Optimized,/blog/nettoyage-tissus-ameublement,Materials & Surfaces,false,true,false
11,ğŸ“‹ MONITOR,dÃ©sinfection salon,0,253,8.02,45,561,Not Ranking,Well Optimized,/blog/desinfection-salon,Salon & CanapÃ©,false,true,false
11,ğŸ“ˆ HIGH-CTR,fin de travaux,0,273,10.82,42,388,Not Ranking,Well Optimized,/tfc,Post-Chantier TFC,false,true,false
11,ğŸ“‹ MONITOR,remplacement mousse,0,225,9.70,49,505,Not Ranking,Well Optimized,/blog/remplacement-mousse-canape,Tapisserie,false,true,false
11,ğŸ“‹ MONITOR,services nettoyage professionnel prÃ¨s de moi,0,357,6.00,30,500,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,true,false
10,ğŸ“ˆ HIGH-CTR,nettoyage Ã  sec,0,289,12.98,34,262,Not Ranking,Optimized,/blog/nettoyage-sec-technique,Technical Methods,false,true,false
10,ğŸ“‹ MONITOR,devis en ligne,0,192,2.54,50,1965,Not Ranking,Well Optimized,/devis,Pricing & Services,false,false,false
10,ğŸ“ˆ HIGH-CTR,entretien canapÃ© cuir tunis,0,153,23.79,64,269,Not Ranking,Well Optimized,/blog/entretien-canape-cuir,Specialized Services,false,true,false
10,ğŸ“‹ MONITOR,nettoyage tapis ariana,0,308,3.38,33,975,Not Ranking,Well Optimized,/tapis,Geographic Areas,false,false,false
10,ğŸ“‹ MONITOR,nettoyage marbre tunis,0,338,3.46,30,867,Not Ranking,Well Optimized,/marbre,Marbre,false,false,false
9,ğŸ“‹ MONITOR,prix nettoyage tapis tunis,0,416,2.69,22,817,Not Ranking,Well Optimized,/blog/prix-nettoyage-tapis,Pricing & Services,false,false,false
9,ğŸ“‹ MONITOR,lavage tapis tunis,0,213,7.47,42,562,Not Ranking,Well Optimized,/tapis,Tapis,false,true,false
9,ğŸ“ˆ HIGH-CTR,nettoyage rideaux tunis,0,315,11.28,30,266,Not Ranking,Well Optimized,/services,Nettoyage,false,true,false
8,ğŸ“‹ MONITOR,cci tunisie,0,1366,0.30,9,1866,Not Ranking,Well Optimized,/,Global Keywords,false,false,false
8,ğŸ“‹ MONITOR,dÃ©capage sols,0,262,3.33,30,902,Not Ranking,Well Optimized,/blog/decapage-sols-guide,Post-Chantier TFC,false,false,false
8,ğŸ“ˆ HIGH-CTR,prix injection extraction,0,283,11.48,28,244,Not Ranking,Well Optimized,/blog/prix-injection-extraction,Pricing & Services,false,true,false
8,ğŸ“‹ MONITOR,nettoyage cuir professionnel,0,231,9.21,34,369,Not Ranking,Well Optimized,/blog/nettoyage-cuir-professionnel,Specialized Services,false,true,false
8,ğŸ“ˆ HIGH-CTR,services carthage,0,168,11.24,48,427,Not Ranking,Well Optimized,/services,Geographic Areas,false,true,false
8,ğŸ“‹ MONITOR,tarifs moyens nettoyage aprÃ¨s travaux,0,489,1.65,16,971,Not Ranking,Well Optimized,/blog/tarifs-nettoyage-apres-travaux,Professional Services Inquiries,false,false,false
7,ğŸ“‹ MONITOR,tarif nettoyage tapis,0,290,2.61,24,920,Not Ranking,Well Optimized,/blog/tarifs-nettoyage-tapis,Pricing & Services,false,false,false
6,ğŸ“‹ MONITOR,entretien marbre,0,202,3.41,28,821,Not Ranking,Well Optimized,/blog/entretien-marbre-conseils,Marbre & Pierre,false,false,false
6,ğŸ“ˆ HIGH-CTR,rÃ©novation fauteuil,0,278,19.82,22,111,Not Ranking,Well Optimized,/blog/renovation-fauteuil-guide,Tapisserie,false,true,false
6,ğŸ“‹ MONITOR,nettoyage professionnel bureaux options,0,355,4.09,16,391,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,false,false
6,ğŸ“‹ MONITOR,entretien salon tunis,0,268,3.22,21,652,Not Ranking,Well Optimized,/salon,Salon,false,false,false
5,ğŸ“‹ MONITOR,cci tunis,0,1225,0.30,138,1257,Not Ranking,Well Optimized,/,Global Keywords,false,false,false
5,ğŸ“ˆ HIGH-CTR,marbre cuisine calcaire,0,237,12.00,21,175,Not Ranking,Well Optimized,/blog/marbre-cuisine-calcaire,Specialized Services,false,true,false
5,ğŸ“‹ MONITOR,marbre ariana,0,71,8.22,69,839,Not Ranking,Well Optimized,/marbre,Geographic Areas,false,true,false
5,ğŸ“‹ MONITOR,nettoyage la marsa,0,184,4.27,28,655,Not Ranking,Well Optimized,/services,Geographic Areas,false,false,false
4,ğŸ“‹ MONITOR,CCI Tunis,0,1210,0.30,72,973,Not Ranking,Well Optimized,/,Company Brand,false,false,false
4,ğŸ“‹ MONITOR,tapisserie nautique,0,90,5.42,45,830,Not Ranking,Well Optimized,/tapisserie,Tapisserie,false,true,false
4,ğŸ“‹ MONITOR,tarif nettoyage salon tunisie,0,457,1.82,9,494,Not Ranking,Well Optimized,/blog/tarif-nettoyage-salon,Pricing & Services,false,false,false
4,ğŸ“‹ MONITOR,services nettoyage vitres en hauteur,0,231,9.31,19,204,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,true,false
4,ğŸ“‹ MONITOR,nettoyage spÃ©cialisÃ© cuisines industrielles,0,368,4.67,12,257,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,false,false
3,ğŸ“‹ MONITOR,nettoyage tapis tunis,0,712,0.30,93,1380,Not Ranking,Well Optimized,/tapis,Tapis & Moquette,false,false,false
3,ğŸ“‹ MONITOR,shampooing canapÃ©,0,135,1.54,21,1362,Not Ranking,Well Optimized,/blog/shampooing-canape,Salon & CanapÃ©,false,false,false
3,ğŸ“‹ MONITOR,protection marbre,0,137,1.65,21,1276,Not Ranking,Well Optimized,/blog/protection-marbre-guide,Marbre & Pierre,false,false,false
3,ğŸ“‹ MONITOR,dÃ©poussiÃ©rage professionnel,0,126,3.17,24,757,Not Ranking,Well Optimized,/blog/depoussierage-professionnel,Post-Chantier TFC,false,false,false
3,ğŸ“‹ MONITOR,tissus ignifuges,0,137,8.26,19,230,Not Ranking,Well Optimized,/blog/tissus-ignifuges-guide,Tapisserie,false,true,false
3,ğŸ“‹ MONITOR,confection sur mesure,0,76,4.60,39,847,Not Ranking,Well Optimized,/tapisserie,Tapisserie,false,false,false
3,ğŸ“ˆ HIGH-CTR,nettoyer plan travail marbre,0,141,18.60,24,129,Not Ranking,Well Optimized,/blog/nettoyer-plan-travail-marbre,Specialized Services,false,true,false
3,ğŸ“‹ MONITOR,marbre la marsa,0,266,0.99,13,1309,Not Ranking,Well Optimized,/marbre,Geographic Areas,false,false,false
3,ğŸ“‹ MONITOR,rÃ©server service nettoyage Ã©vÃ©nement professionnel,0,401,4.07,7,172,Not Ranking,Well Optimized,/contact,Professional Services Inquiries,false,false,false
2,ğŸ“‹ MONITOR,lavage vapeur,0,132,6.02,18,299,Not Ranking,Optimized,/blog/lavage-vapeur-technique,Technical Methods,false,true,false
2,ğŸ“‹ MONITOR,marbre blanc,0,267,2.49,9,361,Not Ranking,Well Optimized,/blog/entretien-marbre-blanc,Marbre & Pierre,false,false,false
2,ğŸ“‹ MONITOR,nettoyage aprÃ¨s travaux,0,184,2.85,13,456,Not Ranking,Well Optimized,/tfc,Post-Chantier TFC,false,false,false
2,ğŸ“‹ MONITOR,comment nettoyer canapÃ© cuir,0,185,1.10,13,1177,Not Ranking,Well Optimized,/blog/nettoyer-canape-cuir,Specialized Services,false,false,false
2,ğŸ“‹ MONITOR,nettoyage prestige tunis,0,335,0.48,6,1244,Not Ranking,Well Optimized,/services,Geographic Areas,false,false,false
2,ğŸ“‹ MONITOR,entreprise nettoyage Ã©cologique commerces,0,483,0.87,4,458,Not Ranking,Well Optimized,/services,Professional Services Inquiries,false,false,false
1,ğŸ“‹ MONITOR,nettoyage salon tunisie,0,427,0.30,68,768,Not Ranking,Well Optimized,/salon,Global Keywords,false,false,false
1,ğŸ“‹ MONITOR,nettoyage post-chantier,0,150,0.30,33,1279,Not Ranking,Well Optimized,/tfc,Global Keywords,false,false,false
1,ğŸ“‹ MONITOR,CCI Tunisie,0,1324,0.30,135,313,Not Ranking,Well Optimized,/,Company Brand,false,false,false
1,ğŸ“‹ MONITOR,nettoyage salon domicile tunis,0,338,0.26,3,1157,Not Ranking,Well Optimized,/salon,Salon & CanapÃ©,false,false,false
1,ğŸ“‹ MONITOR,polissage marbre,0,286,1.33,2,150,Not Ranking,Well Optimized,/blog/polissage-marbre-technique,Marbre & Pierre,false,false,false
1,ğŸ“‹ MONITOR,nettoyage vitres chantier,0,184,1.11,3,270,Not Ranking,Well Optimized,/blog/nettoyage-vitres-chantier,Post-Chantier TFC,false,false,false
1,ğŸ“‹ MONITOR,rembourrage canapÃ©s,0,110,5.88,9,153,Not Ranking,Well Optimized,/blog/rembourrage-canapes,Tapisserie,false,true,false
1,ğŸ“‹ MONITOR,prix transparent,0,92,0.64,6,933,Not Ranking,Well Optimized,/blog/prix-transparent-nettoyage,Pricing & Services,false,false,false
1,ğŸ“‹ MONITOR,produits nettoyage cuir,0,209,0.99,7,705,Not Ranking,Well Optimized,/blog/produits-nettoyage-cuir,Specialized Services,false,false,false
1,ğŸ“‹ MONITOR,dÃ©tartrage marbre cuisine,0,124,4.12,10,243,Not Ranking,Well Optimized,/blog/detartrage-marbre-cuisine,Specialized Services,false,false,false
1,ğŸ“‹ MONITOR,sÃ©chage rapide,0,122,0.81,9,1110,Not Ranking,Well Optimized,/blog/sechage-rapide-technique,Technical Methods,false,false,false
0,ğŸ“‹ MONITOR,nettoyage professionnel tunisie,0,411,0.30,0,326,Not Ranking,Well Optimized,/services,Global Keywords,false,false,false
0,ğŸ“‹ MONITOR,dÃ©tachage salon,0,170,0.00,0,583,Not Ranking,Well Optimized,/blog/detachage-salon-guide,Salon & CanapÃ©,false,false,false
0,ğŸ“‹ MONITOR,polissage marbre tunisie,0,350,0.00,0,0,Not Ranking,Well Optimized,/marbre,Marbre & Pierre,false,false,false
0,ğŸ”§ NEEDS-WORK,polissage marbre tunisie,0,350,0.00,0,0,New,Needs Optimization,/marbre,Marbre & Pierre,false,false,false
0,ğŸ“‹ MONITOR,ponÃ§age marbre tunisie,0,320,0.00,0,0,Not Ranking,Well Optimized,/marbre,Marbre & Pierre,false,false,false
0,ğŸ”§ NEEDS-WORK,ponÃ§age marbre tunisie,0,320,0.00,0,0,New,Needs Optimization,/marbre,Marbre & Pierre,false,false,false
0,âœ… MOMENTUM,lustrage marbre tunisie,27,280,0.00,0,0,Improving,Requires Work,/marbre,Marbre & Pierre,false,false,false
0,ğŸ”§ NEEDS-WORK,lustrage marbre tunisie,0,280,0.00,0,0,New,Needs Optimization,/marbre,Marbre & Pierre,false,false,false
0,ğŸ“‹ MONITOR,protection marbre tunisie,0,240,0.00,0,0,Not Ranking,Well Optimized,/marbre,Marbre & Pierre,false,false,false
0,ğŸ”§ NEEDS-WORK,protection marbre tunisie,0,240,0.00,0,0,New,Needs Optimization,/marbre,Marbre & Pierre,false,false,false
0,ğŸ“‹ MONITOR,cristallisation marbre tunisie,0,380,0.00,0,0,Not Ranking,Well Optimized,/marbre,Marbre & Pierre,false,false,false
0,ğŸ”§ NEEDS-WORK,cristallisation marbre tunisie,0,380,0.00,0,0,New,Needs Optimization,/marbre,Marbre & Pierre,false,false,false
0,ğŸ“‹ MONITOR,lavage tapisserie tunis,0,213,0.00,0,843,Not Ranking,Well Optimized,/tapis,Tapis,false,false,false
0,âš ï¸ DECLINING,dÃ©tachage salon tunis,2,288,0.00,0,595,Declining,Well Optimized,/salon,Salon,false,false,false
